scenario,concurrency,repetitions_completed,requests_total,success_total,avg_error_rate,avg_elapsed_s,avg_requests_per_s,avg_output_tokens_per_s,avg_total_tokens_per_s,avg_latency_p95_ms,avg_ttft_p95_ms,avg_json_valid_rate
chat_512_256,4,3,384,384,0.0,2177.042137019181,0.05879537112434593,15.063557817592189,45.1667878332573,68613.13100513071,297.025566167819,
chat_512_256,8,3,384,384,0.0,2826.9071683015986,0.04527916884086469,11.600664554432164,34.78359900095489,177432.84497263376,814.9134488388275,
chat_512_256,16,3,384,384,0.0,2601.637677008752,0.049199782346411314,12.605137986470412,37.79542654783302,326557.4715448155,1688.4512299283717,
chat_512_256,32,3,384,384,0.0,2558.3425041871765,0.05003240111929422,12.818457518016677,38.43504689109532,641324.8563654566,3410.833129333332,
latency_256_128,1,3,96,96,0.0,146.96389629365876,0.21774074473949637,27.870815326655535,83.61244597996661,4681.062339168663,67.82066656742245,
saturation_512_256,1,3,576,576,0.0,1760.0194174754433,0.10908970639814307,27.949691860090905,83.80362153594017,9303.566021472216,104.9356806402405,
saturation_512_256,2,3,576,576,0.0,2006.4221737817861,0.09569306706762855,24.517361224952,73.51221156357782,21107.414572212536,143.6264116937915,
saturation_512_256,4,3,576,576,0.0,3269.483700711901,0.05872487842128373,15.045803225519734,45.112940977217,68672.25617358927,298.096389696002,
saturation_512_256,8,3,576,576,0.0,4236.7832748342,0.04531740730072945,11.610697395507726,34.81320993348121,177248.0874946341,752.1682896651328,
saturation_512_256,16,3,576,576,0.0,3888.219006969283,0.04937993547256531,12.651550967533504,37.93407792948694,325305.44777091127,1669.9984681482117,
